E42_FC_early	E42_FC_late	E42_FC_mid	E42_OC_early	E42_OC_late	E42_OC_mid	E77_FC_early	E77_FC_late	E77_FC_mid	E77_OC_early	E77_OC_late	E77_OC_mid
ANXA6	MGST2	C13H2orf40									
HSD3B7	XYLT2	PRSS16									
OLFM4	PLS3	EGFL7									
TRPC6	LOC106995078	NRIP2									
ACAN	NXPH4	FGF18									
KAZALD1	ABCA10	GPC6									
CALD1	LCTL	LIF									
TSHZ2	KIAA1257	LMCD1									
CCL26	IGFBP3	OSTF1									
QPRT	MAP3K20	PLS1									
C20H16orf89	GPRC5C	MBP									
LOC114675134	ORAI3	FAM107A									
BAG2	ECSCR	VGLL3									
AKR1E2	UBE2E2	PEBP4									
TTC39B	LPAR6	LOC114669827									
LOC114679016	LOC106994578	IL11RA									
C13H2orf50	SHISA8	PLK2									
UBL4B	LYPD6B	EVA1B									
SDC4	C7H15orf39	GUCY2D									
WFDC1	SLC13A4	CD200R1									
FHL5	MPZL2	TMEM26									
DNAJC6	METTL7B	PLD1									
LOC698354	LOC106999707	DUSP2									
ITGB3	PTGDS	FLRT2									
ST3GAL1	MORC4	RARB									
VLDLR	MYO1D	LOC714130									
TMEM106A	PLOD2	HEY2									
PIWIL2	MAMU-AG	RALYL									
PTPRJ	MMP28	TNFRSF21									
GAS2	LMCD1	RSPH1									
HRCT1	NKD2	LPCAT2									
OSTC	IMPDH1	ZBTB38									
CNN1	MAMU-A3	CCDC102A									
COL13A1	LOC714964	TRAM2									
SH3PXD2A	MXRA5	SMIM5									
LRP1	SLC9A9	PDLIM2									
TENM4	LOC114677731	GALNT10									
LDLRAP1	CASP7	RHOD									
SERINC2	TLR4	CLDN23									
MORC4	EVC2	RAB34									
PI16	FOXD2	CH25H									
PDE7B	CEBPD	RGS22									
LOC114673108	MMP25	LOC717105									
GCHFR	FOXO1	TRNP1									
COL4A6	TMEM37	RGS8									
FGL2	FMO3	ITPR1									
ANTXR2	PTGS2	VAX1									
IL1R1	STARD8	GJC3									
LOC114676876	EBF2	RYR3									
LOC106994500	PIFO	RPRM									
THRB	SLC50A1	C3H7orf57									
PRKCD	SLC45A3	LOC718408									
TESC	WNT6	KCNE5									
LOC114673061	C1QTNF1	DLC1									
ARID5A	ASIC4	ELFN1									
LOC114672336	RRAS	SOCS1									
AVPI1	THSD7B	NMI									
ADIRF	CYP26A1	ABLIM2									
C20H16orf74	UAP1L1	SH3BP4									
KCTD14	IFIT3	FGD5									
MIR433	FKBP7	ARRB1									
MLKL	ZNF648	LOC106994823									
ALPK2	EVA1A	MMRN1									
ENDOD1	LOC114671881	CHRNA1									
LOC114670287	TNFAIP8	LOC114670878									
PLPPR4	LOC694372	F5									
SCRG1	EDN1	DAW1									
SHANK1	LOC703224	TSPAN33									
ENPP6	GMPR	HEXA									
CFAP126	OSBPL10	KIF6									
SUGCT	TNFAIP3	SLC38A11									
DNAH7	PCK2	LOC114679438									
DNAJC3	RAB27A	GFRA3									
LOC114673743	LOC695158	LGMN									
SCN7A	DDIT3	CCN2									
KIFC3	CD302	ANOS1									
LOC697280	LOC703029	NAT2									
CD40	LOC711820	IFI44									
TAGLN	APOBEC3F	LOC718365									
MIR127	HPGD	CACNG5									
DAPK2	HDDC2	ECEL1									
GRIN2B	HS1BP3	MIR424									
SCARF2	MCTP2	RBP1									
MFAP2	DLC1	DMGDH									
SYNPO	ETHE1	ACER1									
CLIC2	IFI35	BCAT1									
SEC23A	PAPPA	C1H1orf54									
DGKA	FKBP11	PLXND1									
TRH	ERICH2	CDRT4									
RARB	CD40	HERPUD1									
LOC114677036	CTSO	AKAP14									
TRIM21	NMI	TPBGL									
FBXW4	ZNF503	DMRTA1									
LOC698300	P2RY14	DNAH7									
C19H19orf38	ST18	LOC106999235									
CFAP221	GBP3	TNNT1									
TRIM29	BBS9	ANTXR2									
SH2D4A	SERPINE1	CRHBP									
PLEKHG3	SDK1	PRIMA1									
LOC697534	ARHGDIB	FOXS1									
EPHA7	TBC1D2	S100A1									
WNT2B	GATA6	ANKRD63									
C1H1orf54	LOC106993196	NIPAL2									
GCK	CERCAM	MERTK									
ALDH1A3	TRIP10	FAM83H									
CLEC1A	ACOT11	NR1D1									
TLN1	JUNB	LOC106993126									
WIF1	XPNPEP2	REP15									
CCND1	LOC711690	LOC107001038									
ZBTB46	HCAR1	PLCXD3									
TLCD2	GPR37L1	LOC114671289									
LOC697687	NPR3	HENMT1									
PROCR	COL9A3	CNTN4									
RTN4RL2	CDK18	LOC704623									
CTSO	KRT18	PIWIL2									
FAM110D	RET	LOC107000481									
C1S	CALHM5	WSCD2									
LOC114671882	SLC35D2	MMP28									
BCL3	TMEM117	EFCC1									
SDC2	DSC2	LOC114679506									
CD9	CLDN2	C1H1orf158									
IL20RB	LOC695105	MOGAT2									
STK32B	RIPPLY1	LOC106999299									
LOC100424961	PTGER2	CTF1									
CFB	ADRB1	COL27A1									
LOC106999707	SPP1	PRKCB									
GAL	TLR6	GALNT17									
HYDIN	SLC8B1	PLAU									
OTX2	ADAMTS17	ADAMTS16									
LOC106994823	SPARCL1	TENT5C									
SMAD6	GASK1B	LOC106995020									
KLK7	FERMT1	LOC106999713									
LOC709988	TMEM63A	LOC114673743									
MYH9	GPER1	SYT12									
ARID5B	AGTR2	SOX13									
MIR329-1	SH2B3	FAM133A									
DACT3	GDF7	TRPM8									
TMCC3	TMEM30B	SLC7A7									
MATN2	PDZD2	BRINP1									
HVCN1	SPTLC3	GMPR									
LOC703298	RGS5	LOC106998081									
HAPLN1	SCN5A	HGF									
PWWP3B	OTULINL	NPTX2									
RHOBTB1	ACVRL1	LOC114671505									
PLEKHF1	TPPP3	HSD17B14									
SALL4	VAX1	ABLIM3									
IRS1	LOC114679438	LOC114672648									
PLPP1	VEGFC	CACNA1D									
KLHL29	PLSCR4	CSPG4									
NKX2-2	ARHGEF5	SDC4									
JUNB	SIPA1	RSAD2									
CASQ2	CCL2	KCNB1									
PPM1J	ITGAX	ICAM1									
FIBIN	RGS14	EMP3									
CRABP2	CTF1	LOC114672103									
LOC114673589	H2AFJ	RTP5									
CLEC14A	AIFM2	LOC106994252									
WTIP	LOC106998995	LOC694178									
PTGS2	RNF207	CFAP45									
EHD3	SLC22A2	LOC114679980									
CLCF1	SGMS2	SLC22A18									
RHOU	ZFP36	CACNA1I									
MIR424	NGF	CDKN2B									
RGS9	HSBP1L1	PKP2									
PAMR1	CAV2	ZFP42									
MERTK	LOC720132	C1H1orf194									
PTGER4	KAZALD1	LOC114674294									
ACSL1	CASTOR1	TNXB									
NFKBIZ	CYP2C76	AKAP7									
ZMAT4	RFLNB	TRPC5									
GMPR	MIR199A-1	RNF212									
DAZL	TNFAIP6	PCOLCE2									
TMEM171	SMIM3	SERPINB9									
IGFBP4	ACSF2	MINAR1									
IARS	TNN	CYP3A5									
LASP1	CXCL10	TMEM171									
TNNT2	PRXL2C	DAPK2									
MMP2	HEBP1	LOC114669806									
LOC114669951	TRAF5	C19H19orf38									
TACC1	SYDE2	DACT1									
ITGA4	ISL1	ALPL									
RASSF1	LOC701504	PDGFRB									
KIAA1614	BAG2	HEYL									
LOC114672113	LIF	LOC114679505									
REM1	APOBEC3B	GFRA4									
COL4A5	LOC707129	TNFRSF13C									
TRAM2	LOC114672191	METTL24									
PNPLA3	FES	FAM43A									
BCL6	MRO	NAV2									
LOC114679948	SOD3	STARD8									
IL10RB	IL34	SGPP2									
ARHGAP23	AQP3	LOC106999150									
TSHZ3	ASTN2	CFI									
LOC721315	LOC707041	LOC106998769									
FGF1	LOC106993126	LOC114672937									
LOC106998865	SHOX2	NANOS1									
RFLNB	TINAGL1	LOC114674085									
LOC709318	LRRN4CL	SLC7A14									
SLC41A2	GUCY2F	LOC106994748									
LOC701920	MAMU-A	ASB2									
LOC114670761	LOC114677644	SLC43A3									
RFLNA	CBLN2	ITGB3									
LOC107000533	FOXC2	SERTM1									
PTGFR	TFEB	MGLL									
CFAP45	RHOD	TMEM100									
CFAP44	TMEM200A	PCDHB1									
C19H19orf66	DLX6	COL23A1									
FSTL3	RARG	SPRY4									
LOC722485	SP140L	KDR									
CYP4F12	PROSER2	DHRS3									
LOC106998081	TBC1D8B	LOC106992928									
LRRC75B	PLLP	BMP8B									
SLC7A7	TMEM106A	GREB1L									
RUNX1T1	BDH2	C9H10orf105									
RAMP1	LOC106998611	FAM49A									
RGMB	CD9	ANKRD35									
FUT1	LOC106994243	COL14A1									
LOC106994033	SLC7A7	SYNPO									
LOC114671425	CX3CL1	C12H2orf88									
ARPC5	HACD4	HSPA12A									
PDIA4	PLEKHB1	LOC106994578									
FGD5	ENPP2	PTPRU									
MIR487A	LOC717105	ADAMTS4									
ADCYAP1	TBX3	RAMP3									
CLEC3B	QPCT	CDH18									
LTBP4	BTN3A3	LOC114672120									
MYL12A	LOC114671723	MIR134									
LOC703029	LOC114670761	CLEC14A									
SYDE1	MGMT	CA4									
ADAMTS9	CLEC2B	FNDC5									
SPATA20	LOC106999304	SAMD11									
LOC114677064	SLC16A5	NTS									
NMRK1	S100A16	SLC16A12									
KLF5	LOC114671957	NEFM									
TNIP3	FER1L6	CUBN									
PTX3	LOC114669765	NGEF									
PAPLN	TRIM21	TPD52L1									
GLIPR1	IRS4	RAB37									
STX11	SLCO2B1	AHR									
GRAMD2A	ALPK2	LOC114674161									
TTR	OPRM1	LOC114671957									
SCTR	SOCS3	RASL11B									
NR1D1	NANS	ARL4A									
SH3KBP1	TRABD2B	FAM162B									
EPHX4	QRFPR	GDPD5									
ITGAV	ABCB1	LOC106992395									
DSTN	GM2A	CCL19									
GREB1L	PRG4	RTL4									
LRRC32	S100A6	FBXO2									
SLC8B1	RSPO2	MT1X									
SMTNL2	PARP15	LOC697035									
PPEF1	LOC114678892	CHAD									
MBOAT1	FKBP14	SHISA8									
CD9-1	CCDC102B	DDIT3									
LOC704750	HRH1	GPER1									
TSPAN15	NIPAL3	LOC114679948									
STAMBPL1	SLC22A6	GPR37									
SEMA3G	DNAH6	CORO2A									
PRR5	LOC114676876	CCDC160									
HSPA2	PYGM	SGSM1									
RAB20	EPHX2	LOC100429203									
PARP15	RHOU	FRMPD4									
GUCY1A1	ABCA5	GSX1									
ZNF215	SCN7A	FAM81B									
FBXL2	S100A13	LOC100427734									
OMD	G0S2	COCH									
MYOCD	PM20D1	WDR38									
RSU1	LOC114670287	RGS9									
CD63	PARP9	ZBTB7B									
MCHR1	ARHGAP6	SOX10									
CLDN23	ZFYVE28	SMCO3									
HS6ST3	ACKR4	LOC106996906									
LOC114679014	LAMP3	APOBEC3B									
LOC114678592	LOC106997222	LOC107000936									
SEMA3F	ECHDC3	PLAAT3									
CTSC	ALX1	MUC4									
ITGA7	PARP12	SH3BP5									
ANKDD1A	FAM189A1	LMX1A									
DIRAS2	FAR2	PLA2G7									
SHC4	ADSSL1	ADGRE5									
PLEKHA4	NPM3	CYSLTR2									
CCDC146	TGFB3	SLC16A5									
AXL	MSX2	CCDC153									
NFATC1	LOC106992650	ANGPTL6									
LOC722133	OTX2	SLC1A5									
TBX1	RASSF9	MGP									
DPPA4	TNFRSF13C	LOC107000162									
TPCN1	MAMDC2	MAMDC2									
AOX1	DIO2	DPP4									
CDA	LTBP2	HSPB8									
SEMA3D	KERA	LOC100430028									
LOC114670815	MET	CA11									
RGL1	SUSD2	WNT2B									
SNX25	CHRNA5	LOC114672368									
MIR370	CMKLR1	FAM78B									
TMEM268	RBPMS2	LOC114669738									
LOC114677681	ANGPTL7	HAPLN1									
ERVMER34-1	DTX2	ARHGEF5									
FABP5	CD4	ASIC4									
TBXA2R	CTBS	LOC114679975									
ACSL4	SYNDIG1	LOC114672129									
LOC715388	NR3C2	MIR376B									
ANKRD34A	TFAP2A	PPP1R32									
TNFAIP8	STXBP6	OLFM4									
ARFGEF3	PRR35	CHSY3									
RGS4	STAT5A	C1QL1									
GALNT4	INPP5D	RNF207									
ABLIM1	BLVRB	LOC693631									
DIO3	MYLK	NMNAT3									
MIR134	ADA	EGR2									
LOC114672937	SALL4	LOC100428404									
PIK3CD	SULT1C4	LOC106999707									
BVES	ACCS	TTR									
ACOT4	PLCXD3	ANXA3									
RASGRF2	ADM2	GAS2L2									
LOC711690	NAAA	RASGRP2									
WNT9A	IL10RB	NPPC									
LOC114679957	INHBE	LOC114677452									
PCP4L1	FAM111B	ARPC1B									
ME1	RAB20	SCGN									
UPP1	TNNT2	LOC718978									
LOC701439	SULF1	LOC707369									
BICDL2	LOC114676270	LOC114670587									
BOK	MLKL	CCDC39									
ZYX	GAB3	CD9									
PLOD3	DMRTA1	GALNT18									
DENND3	LOC106997223	CRTAC1									
ANTXR1	EFCC1	SCN2B									
LUZP1	ADAMTSL4	LOC114678119									
LOC716242	HFE	LOC114676936									
TRAF5	HGF	SLC25A45									
LOC702046	TNNT1	S100A6									
SLC7A3	NTRK2	FIBIN									
CXCL12	ERG	COL20A1									
ODF3L2	MIR604	LOC114677660									
ACTN4	KANK4	TBC1D2									
C2	SLC39A4	DLGAP2									
ECHDC3	GALM	ADM2									
TMEM41A	TRIM34	ASIC2									
TCEA3	MSRB2	RNF125									
POLD4	LOC723542	MIR143									
TBC1D10A	B3GNT2	C20H16orf86									
ACSS2	IL18R1	LOC114680160									
ADCY7	LOC723286	VAMP8									
HSPA6	ATP8B1	MIR711									
ADD3	NOSTRIN	FAM189A1									
ADAMTS14	MIR214	KIAA1257									
SLC38A5	LOC114670756	CFAP99									
MYL6	METRNL	FBXO15									
ARSI	LOC698738	LOC114680366									
TNFRSF13C	PLAT	EFNA1									
MIR539	IGFBP7	LOC107000130									
ACOX2	MEDAG	IL20RA									
ASB2	IFIT1	SPP1									
CRELD2	CDH1	LOC711690									
LOC114679979	TCEA3	BEAN1									
LOC114671100	LOC106992927	CMYA5									
SP110	MPZ	EGR3									
LOC114677482	SOSTDC1	LOC114670432									
LOC114670878	LOC701920	LOC107000366									
LOC114679980	LOC100426950	GPSM3									
IRF1	DES	NOG									
AKR1C1	TNNT3	STX11									
NPW	MT2A	MIR544									
SLC9A5	KCTD11	RCVRN									
LOC100426576	CRYM	VWC2L									
MMP19	HEY2	TRIM71									
PTPN14	LOC107000761	MIR152									
LOC114676224	CLYBL	DNAAF1									
ERMP1	NR2E3	S100A2									
KCND1	PLEKHF1	MAFB									
INHBA	ACAN	MIR938									
SGCG	LOC106993161	NPW									
LOC717105	LOC711876	LOC100428798									
LOC707129	RNF212	GRIN2B									
MIR329-2	BFSP1	NR1H3									
TRAM1	NMNAT3	LOC114672715									
SUSD2	CDH3	LOC114674389									
RPS6KA4	NKG2D	DPF3									
SPINT1	ARID3A	IQSEC3									
IFIT1	LOC694538	LOC718900									
PRTG	IRF1	KCNK6									
CBR3	MYLIP	P2RX6									
FHOD1	TXLNB	APLN									
TMEM26	SLFN12	LCN2									
NMI	PSTPIP2	MCHR1									
CLMN	KYNU	PCDH20									
PLCB4	HAPLN3	NEXN									
LOC106993211	HEYL	HTR1D									
AHNAK2	DENND2C	MIR199A-2									
DZIP1L	FBXO6	SNCG									
PKP2	XKR8	TMEM116									
AZIN2	CADPS2										
VASP	SLC11A1										
CSRP1	LOC114670878										
LOC697115	IQCK										
CH25H	CUBN										
RAB32	CPVL										
PLK2	ARMC3										
LOC114679506	LOC106997082										
LOC100430500	ADGRE5										
BEAN1	EBF3										
LOC107000130	ISM1										
LOC106999150	NLRP6										
LOC720132	LOC106995402										
LATS2	LOC706568										
FAM49A	PAX8										
SLC9A3R1	CYP3A5										
ABLIM2	WHRN										
BDNF	IKBKE										
S100A1	ACPP										
SLC6A11	LOC114672434										
VASN	LOC114673589										
PPP1R1B	IL16										
IRX3	LOC114669738										
SPX	ZNF541										
MOB3C	LOC100428404										
LOC114679971	FXYD5										
LOC114679438	NPTX2										
FLVCR2	LOC106998769										
UGCG	RXFP3										
GATA6	RASEF										
LOC703700	LOC106995321										
SLC7A8	LOC707437										
SLC38A11	PLAG1										
PLAG1	RAB11FIP1										
PTPRM	SPAG6										
PLSCR4	PRICKLE3										
DHX58	MAP1LC3C										
FLT1	ALS2CL										
ZFP36	ABCA4										
PLPPR5	CASP10										
SLC8A2	SLC35F4										
ACSF2	ALDH1A1										
SEPTIN8	LOC709619										
KCNG2	SERTAD1										
TNNI1	MT1X										
SYT13	FIBCD1										
HSP90B1	DIO3										
DAW1	TNIP3										
LOC106995978	RSPH4A										
HS3ST3A1	AK7										
HACD4	CFAP126										
CCN2	LOC710682										
HIVEP1	LOC106995020										
MYC	DMKN										
WLS	CACNA2D4										
LMAN1L	FAS										
MEDAG	CHDH										
LOC106993594	LOC100425578										
LOC106996990	UBL4B										
SGPP2	EMILIN3										
LOC114673783	APOLD1										
LOC114676132	RAMP1										
PGM5	ITGB2										
ETV6	TWIST2										
LRRK2	CXCL1										
PECAM1	JAML										
BCAM	PRELP										
GDF6	NPPC										
DNAJB13	ADAMTSL1										
ANKRD35	PYROXD2										
LOC114679444	OSR2										
TSPAN4	CDKL1										
LOC718365	SP110										
LOC114679987	LOC100429195										
GFRA3	LOC114671882										
PIFO	LOC114673416										
LOC114674389	NEFH										
IL11RA	LOC721315										
MIR711	PRR15										
LOC114679261	PPM1M										
VCL	MYO15B										
LOC114674101	VSIG4										
CILP2	SEMA3D										
LOC107000754	VAMP8										
GAS1	EXOC3L2										
LOC718408	CRACR2B										
MIR668	PIK3R5										
LOC114672715	NR1D1										
SYTL2	LOC114672103										
SLC22A23	DMGDH										
UNC93B1	LOC114670774										
STEAP1	PEBP4										
SULF2	LOC694178										
LOC106997159	MUC4										
EDN1	RAB32										
SLC34A2	TENT5B										
GHR	PSMB8										
C1H1orf158	RASD2										
RASEF	MCHR1										
MMP28	APOC1										
PDLIM5	PHLDB3										
RPH3A	CTSS										
CCBE1	RGS22										
INSYN2A	LOC718365										
ANO4	CHST9										
ADAP2	PPP1R13L										
FHL2	SOCS1										
USP51	CXCL8										
LOC711229	KCNK5										
LOC114669986	C1QTNF5										
CHRD	LOC114672937										
CACNA1C	LOC114676384										
DTX3L	SLITRK6										
RARG	CDKN2B										
GEM	GLP2R										
MAFB	TERB1										
MIR380	LOC114679503										
STARD8	CFAP61										
ZNF503	LOC708096										
ALPL	CBR3										
LOC114674994	SLC7A3										
APOA1	COCH										
MIR377	LOC709988										
PPP1R13L	RELB										
LOC718900	HRCT1										
MMRN1	LOC114679648										
CERCAM	GJB2										
LOC714130	C5H4orf36										
XPNPEP2	DHDH										
LOC710137	FAM83H										
EPB41L4B	SECTM1										
MCAM	LOC114677452										
APBA1	LOC697280										
AJUBA	PHETA2										
GPSM3	HSPA6										
LOC706293	MAP3K5										
LOC114679505	PCOLCE2										
ABCC1	TNMD										
RSAD2	TPK1										
COLGALT2	SLC7A14										
TEAD4	CMTM8										
EBP	B3GNT8										
RNASEL	ASPA										
PRPH	HTR6										
LOC106994999	SLC35F3										
GUCY1A2	CHST7										
RRAS2	MYO7A										
LOC707342	FUT1										
AK5	TEAD4										
LOC114674046	LOC106996859										
LOC107000481	LOC114677064										
GRB14	FXYD3										
AGT	MT3										
LOC114678379	LOC114672368										
RAMP2	LOC718408										
COX4I2	COL23A1										
TPM1	CCDC96										
GALNT17	MIR938										
LOC106992927	DDC										
MIR544	TG										
LOC717393	NIPAL2										
MUC4	ACTC1										
CDHR1	LOC106999299										
CGAS	LOC114672774										
SLC2A6	DHRS4										
SCN1B	CDH6										
MIR154	UPK3B										
FAM111B	FRRS1										
LOC114680035	CARD16										
MIR495	IL1R1										
TMEM37	TNFAIP8L3										
SLC29A3	HSD17B2										
SLC2A3	NPFFR1										
ZNF423	LOC714130										
NTRK2	PRSS16										
CPA4	MOS										
IL20RA	LURAP1										
ACTN1	LOC709535										
LOC718926	CLCF1										
LOC114679983	LOC114671425										
LOC114673966	FGF19										
REXO2	C19H19orf66										
LOC114672103	HBA										
SERPINE1	LOC114671905										
RSPO1	IQANK1										
MALT1	CAPSL										
COL20A1	LOC100424689										
ADAM12	ERFE										
HDDC2	LOC106999329										
ASTN2	WDR63										
LOC100428370	SERPIND1										
LOC114680575	STAMBPL1										
ATF3	ZNF391										
SSC5D	VSIG1										
LOC100427153	LOC107000162										
PRKCB	TMEM176B										
FNDC1	SMAGP										
LOC114673237	GSG1L										
MIR654	EFNA1										
EPOR	MAP3K19										
LOC106994252	LOC106997212										
LOC114679962	ZFP42										
PRUNE2	SH2D4A										
MIOX	TMEM171										
KCNQ1	LOC704623										
ITGA10	S100A1										
GCSAML	PIRT										
INPP5D	INPP4B										
ARHGAP26	HVCN1										
LOC704623	CRLF1										
HLF	TPD52L1										
NEURL1B	LOC114678729										
MIR656	CLEC14A										
MIR381	HSD17B14										
SERTAD4	KIAA0040										
MIR152	CER1										
LOC106997891	PAEP										
LOC114678751	RNF135										
RORA	PRKCD										
MIXL1	LOC106997941										
PXDNL	MSC										
GJB2	CALCRL										
WDR1	LOC114676253										
PIK3R5	PLAUR										
LOC106997433	LOC107001038										
IGSF21	LOC114672645										
MIR1185-1	ACOT4										
MIR199A-2	LOC718900										
MIR889	LSR										
C2CD4C	REM1										
CLSTN2	TMEM176A										
APOBEC3A	AQP5										
IFIT2	CA4										
MIR665	PLA2G7										
LOC114676986	GABRE										
CMTM8	RSAD2										
EHD4	APOL4										
MIR543	ENPP6										
EMP1	LOC114676132										
OPRL1	EDARADD										
LOC114671495	BCAM										
TNFAIP8L3	ATP2A3										
IL12A	TNFRSF14										
RELN	LOC114669827										
LOC106996453	LRRC14B										
SLC41A1	CHRM2										
FGD6	LOC107000308										
MIR431	LOC114674108										
PPFIBP2	CDA										
PLPP4	ADCY7										
SPRY4	CDH15										
TNFRSF12A	SOX13										
LOC114679977	ADAMTS8										
HCN1	SPR										
PCSK5	MGP										
MIR382	GALNTL6										
ABCA9	ALDH3B1										
LOC106994201	TNFSF13										
LOC114677660	CACNA1G										
SYNDIG1	RANBP3L										
LOC106998609	VWA5B1										
VGLL3	CNN1										
CDK6	NOL3										
ICAM1	ITGA4										
LOC699657	LOC114673743										
SERPINE2	GJD3										
TEX29	ALPK1										
AXIN2	TDGF1										
PLXDC2	LOC114679505										
GALNT15											
NCR3LG1											
LOC114679967											
LPAR5											
SLC45A3											
STUM											
C8H8orf48											
LOC114670069											
LOC106999504											
BCL2L11											
AMIGO2											
LOC114679991											
APOBEC3F											
SOCS1											
RNF212											
LOC114678119											
LOC100426608											
DEPDC7											
LOC696192											
PRICKLE3											
CDH18											
APLNR											
CRYM											
NLRC5											
ELOVL7											
MIR541											
LOC114679989											
CPAMD8											
ARHGAP20											
TLL2											
LOC114679970											
LOC106997048											
LOC114676936											
KCNB1											
LOC114679949											
IL1RAP											
LOC697761											
FMO4											
CAMK2B											
LOC106998667											
SMAGP											
MIR604											
SLC16A6											
SLC2A12											
LOC114676183											
BMP8B											
IQCA1											
LOC114674990											
LOC114679440											
ARHGAP22											
LOC114679611											
SPAG1											
MIR487B											
ENPP2											
LOC107000330											
LOC114672716											
CRIM1											
RSPH1											
MIR409											
MIR432											
MYO15B											
MIR323A											
IFI44											
LOC114679988											
MAK											
MVD											
CNN2											
SGK1											
MIR27B											
RHOF											
IDH3A											
MIR496											
SLC9A9											
KCNJ3											
CFAP157											
ACHE											
JAK3											
LOC717080											
LOC107000857											
GFRA1											
MIR337											
FIGNL2											
SLC44A3											
REP15											
CHRNE											
LOC114674100											
NRSN2											
LOC114677452											
KLK6											
